Time [sec]	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Alt [m]	Lon [°]   	Lat [°]   	RI    	Dew [°C]	Vi Te [°C]	MRI    	D [kg/m3]	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]
2204      	196.9  	-44.0 	12    	4.8     	231   	11408  	-58.734775	-62.175639	67.50 	-61.0   	-44.0     	1858.61	0.017790 	4.9     	42.5         	077        	16817    
2206      	196.6  	-44.0 	12    	5.0     	230   	11418  	-58.734629	-62.175585	67.42 	-61.0   	-44.0     	1860.06	0.017781 	4.9     	42.5         	077        	16830    
2208      	196.3  	-44.1 	12    	5.1     	229   	11428  	-58.734484	-62.175532	67.33 	-61.1   	-44.1     	1861.49	0.017700 	4.9     	42.6         	077        	16843    
2210      	196.0  	-44.1 	12    	5.2     	228   	11438  	-58.734338	-62.175478	67.23 	-61.2   	-44.1     	1862.94	0.017571 	4.9     	42.6         	077        	16856    
2212      	195.7  	-44.2 	11    	5.1     	229   	11447  	-58.734193	-62.175425	67.14 	-61.2   	-44.2     	1864.37	0.017442 	4.9     	42.6         	077        	16869    
2214      	195.4  	-44.2 	11    	5.1     	230   	11457  	-58.734047	-62.175372	67.05 	-61.3   	-44.2     	1865.82	0.017313 	4.9     	42.6         	076        	16883    
2216      	195.2  	-44.2 	11    	5.0     	231   	11467  	-58.733902	-62.175318	66.96 	-61.4   	-44.2     	1867.25	0.017184 	4.9     	42.6         	076        	16896    
2218      	194.9  	-44.3 	11    	4.9     	231   	11477  	-58.733756	-62.175265	66.87 	-61.5   	-44.3     	1868.69	0.017054 	4.9     	42.6         	076        	16909    
2220      	194.6  	-44.3 	11    	4.8     	232   	11486  	-58.733611	-62.175212	66.77 	-61.6   	-44.3     	1870.14	0.016924 	4.9     	42.6         	076        	16922    
2222      	194.3  	-44.3 	11    	4.8     	233   	11496  	-58.733465	-62.175158	66.68 	-61.6   	-44.3     	1871.57	0.016870 	4.9     	42.6         	076        	16935    
2224      	194.0  	-44.4 	11    	4.7     	234   	11506  	-58.733320	-62.175105	66.59 	-61.7   	-44.4     	1873.02	0.016846 	4.9     	42.6         	076        	16948    
2226      	193.7  	-44.4 	11    	4.6     	235   	11516  	-58.733145	-62.175061	66.50 	-61.7   	-44.4     	1874.45	0.016822 	4.9     	42.6         	076        	16962    
2228      	193.4  	-44.4 	11    	4.5     	235   	11526  	-58.732949	-62.175025	66.41 	-61.7   	-44.4     	1875.91	0.016798 	4.9     	42.6         	076        	16977    
2230      	193.1  	-44.4 	11    	4.5     	236   	11535  	-58.732753	-62.174988	66.32 	-61.8   	-44.4     	1877.38	0.016774 	5.0     	42.6         	076        	16991    
2232      	192.8  	-44.5 	11    	4.6     	238   	11545  	-58.732557	-62.174952	66.23 	-61.8   	-44.5     	1878.84	0.016750 	5.0     	42.6         	076        	17006    
2234      	192.6  	-44.5 	11    	4.7     	240   	11555  	-58.732361	-62.174915	66.14 	-61.9   	-44.5     	1880.30	0.016726 	5.0     	42.6         	076        	17021    
2236      	192.3  	-44.5 	11    	4.8     	241   	11565  	-58.732165	-62.174879	66.05 	-61.9   	-44.5     	1881.79	0.016691 	5.0     	42.6         	076        	17036    
2238      	192.0  	-44.6 	11    	5.0     	243   	11575  	-58.731969	-62.174842	65.96 	-62.0   	-44.6     	1883.25	0.016606 	5.0     	42.6         	076        	17050    
2240      	191.7  	-44.6 	11    	5.1     	244   	11585  	-58.731773	-62.174806	65.87 	-62.0   	-44.6     	1884.71	0.016522 	5.0     	42.6         	076        	17065    
2242      	191.4  	-44.6 	11    	5.2     	246   	11595  	-58.731577	-62.174769	65.78 	-62.1   	-44.6     	1886.17	0.016438 	5.0     	42.6         	076        	17080    
2244      	191.1  	-44.7 	11    	5.4     	247   	11605  	-58.731381	-62.174733	65.68 	-62.2   	-44.7     	1887.64	0.016354 	5.0     	42.6         	076        	17095    
2246      	190.9  	-44.7 	11    	5.5     	248   	11615  	-58.731185	-62.174696	65.59 	-62.2   	-44.7     	1889.11	0.016269 	5.0     	42.6         	076        	17109    
2248      	190.6  	-44.7 	11    	5.7     	249   	11625  	-58.730989	-62.174659	65.50 	-62.3   	-44.7     	1890.58	0.016184 	5.0     	42.6         	076        	17124    
2250      	190.3  	-44.7 	11    	5.8     	250   	11635  	-58.730793	-62.174623	65.41 	-62.3   	-44.7     	1892.04	0.016100 	5.0     	42.6         	076        	17139    
2252      	190.0  	-44.8 	10    	5.8     	250   	11645  	-58.730597	-62.174586	65.32 	-62.4   	-44.8     	1893.51	0.016017 	5.0     	42.6         	076        	17154    
2254      	189.8  	-44.8 	10    	5.9     	249   	11654  	-58.730401	-62.174550	65.23 	-62.4   	-44.8     	1894.98	0.015934 	5.0     	42.6         	076        	17168    
2256      	189.5  	-44.8 	10    	5.9     	249   	11664  	-58.730204	-62.174501	65.15 	-62.5   	-44.8     	1896.44	0.015851 	4.9     	42.6         	076        	17183    
2258      	189.2  	-44.8 	10    	5.9     	248   	11674  	-58.730007	-62.174448	65.06 	-62.6   	-44.8     	1897.83	0.015768 	4.7     	42.6         	076        	17198    
2260      	189.0  	-44.9 	10    	5.9     	248   	11683  	-58.729810	-62.174395	64.98 	-62.6   	-44.9     	1899.22	0.015685 	4.7     	42.6         	076        	17213    
2262      	188.7  	-44.9 	10    	6.0     	247   	11693  	-58.729613	-62.174342	64.89 	-62.7   	-44.9     	1900.61	0.015602 	4.7     	42.6         	076        	17228    
2264      	188.5  	-44.9 	10    	6.0     	247   	11702  	-58.729416	-62.174289	64.81 	-62.8   	-44.9     	1902.00	0.015511 	4.7     	42.6         	076        	17242    
2266      	188.2  	-45.0 	10    	6.0     	246   	11711  	-58.729219	-62.174236	64.72 	-62.8   	-45.0     	1903.38	0.015415 	4.7     	42.6         	076        	17257    
2268      	187.9  	-45.0 	10    	6.1     	246   	11721  	-58.729022	-62.174183	64.64 	-62.9   	-45.0     	1904.77	0.015320 	4.7     	42.6         	076        	17272    
2270      	187.7  	-45.0 	10    	6.1     	246   	11730  	-58.728825	-62.174130	64.55 	-63.0   	-45.0     	1906.16	0.015223 	4.7     	42.6         	076        	17287    
2272      	187.4  	-45.0 	10    	6.1     	245   	11739  	-58.728628	-62.174076	64.46 	-63.0   	-45.0     	1907.54	0.015126 	4.7     	42.6         	076        	17301    
2274      	187.2  	-45.0 	10    	6.1     	244   	11749  	-58.728431	-62.174023	64.37 	-63.1   	-45.0     	1908.93	0.015030 	4.7     	42.6         	076        	17316    
2276      	186.9  	-45.0 	10    	6.0     	243   	11758  	-58.728234	-62.173970	64.28 	-63.1   	-45.0     	1910.32	0.014933 	4.7     	42.6         	076        	17331    
2278      	186.6  	-45.0 	10    	6.0     	242   	11768  	-58.728037	-62.173917	64.19 	-63.2   	-45.0     	1911.70	0.014856 	4.7     	42.5         	076        	17346    
2280      	186.4  	-45.1 	10    	6.0     	241   	11777  	-58.727840	-62.173864	64.10 	-63.2   	-45.1     	1913.07	0.014784 	4.7     	42.5         	076        	17360    
2282      	186.1  	-45.1 	10    	6.0     	240   	11786  	-58.727644	-62.173811	64.01 	-63.3   	-45.1     	1914.46	0.014712 	4.7     	42.5         	076        	17375    
2284      	185.8  	-45.1 	10    	6.0     	239   	11796  	-58.727447	-62.173758	63.92 	-63.3   	-45.1     	1915.85	0.014641 	4.7     	42.5         	076        	17390    
2286      	185.6  	-45.1 	10    	6.0     	238   	11805  	-58.727241	-62.173702	63.84 	-63.4   	-45.1     	1917.24	0.014569 	4.7     	42.5         	076        	17405    
2288      	185.3  	-45.1 	9     	6.0     	238   	11815  	-58.727018	-62.173642	63.75 	-63.4   	-45.1     	1918.64	0.014497 	4.7     	42.5         	076        	17421    
2290      	185.1  	-45.2 	9     	6.0     	237   	11824  	-58.726794	-62.173581	63.66 	-63.5   	-45.2     	1920.05	0.014426 	4.8     	42.5         	076        	17437    
2292      	184.8  	-45.2 	9     	6.1     	237   	11834  	-58.726571	-62.173520	63.58 	-63.6   	-45.2     	1921.45	0.014309 	4.8     	42.5         	076        	17453    
2294      	184.5  	-45.2 	9     	6.2     	238   	11843  	-58.726347	-62.173459	63.48 	-63.6   	-45.2     	1922.85	0.014192 	4.8     	42.5         	076        	17469    
2296      	184.3  	-45.2 	9     	6.3     	238   	11853  	-58.726124	-62.173398	63.39 	-63.7   	-45.2     	1924.25	0.014075 	4.8     	42.5         	076        	17485    
2298      	184.0  	-45.2 	9     	6.4     	238   	11862  	-58.725900	-62.173338	63.30 	-63.8   	-45.2     	1925.65	0.013958 	4.8     	42.5         	076        	17501    
2300      	183.8  	-45.2 	9     	6.5     	239   	11872  	-58.725677	-62.173277	63.20 	-63.8   	-45.2     	1927.05	0.013840 	4.8     	42.5         	076        	17517    
2302      	183.5  	-45.2 	9     	6.6     	239   	11881  	-58.725453	-62.173216	63.11 	-63.9   	-45.2     	1928.44	0.013723 	4.8     	42.5         	076        	17533    
2304      	183.2  	-45.2 	9     	6.7     	240   	11891  	-58.725230	-62.173155	63.02 	-64.0   	-45.2     	1929.84	0.013605 	4.8     	42.5         	076        	17549    
2306      	183.0  	-45.2 	9     	6.8     	240   	11900  	-58.725006	-62.173095	62.93 	-64.0   	-45.2     	1931.25	0.013564 	4.8     	42.5         	076        	17565    
2308      	182.7  	-45.2 	9     	6.9     	240   	11910  	-58.724783	-62.173034	62.84 	-64.0   	-45.2     	1932.64	0.013530 	4.8     	42.5         	076        	17581    
2310      	182.5  	-45.2 	9     	7.0     	241   	11919  	-58.724559	-62.172973	62.74 	-64.0   	-45.2     	1934.06	0.013497 	4.8     	42.5         	076        	17597    
2312      	182.2  	-45.1 	9     	6.9     	240   	11929  	-58.724336	-62.172912	62.65 	-64.0   	-45.1     	1935.45	0.013463 	4.8     	42.5         	076        	17613    
2314      	182.0  	-45.1 	9     	6.8     	240   	11938  	-58.724112	-62.172852	62.55 	-64.0   	-45.1     	1936.85	0.013430 	4.8     	42.5         	076        	17629    
2316      	181.7  	-45.1 	9     	6.8     	240   	11948  	-58.723889	-62.172791	62.46 	-64.0   	-45.1     	1938.25	0.013396 	4.8     	42.4         	076        	17645    
2318      	181.5  	-45.1 	9     	6.7     	239   	11957  	-58.723689	-62.172733	62.37 	-64.0   	-45.1     	1939.65	0.013363 	4.8     	42.4         	076        	17660    
2320      	181.2  	-45.1 	9     	6.7     	239   	11967  	-58.723494	-62.172675	62.28 	-64.0   	-45.1     	1941.07	0.013346 	4.8     	42.4         	076        	17675    
2322      	180.9  	-45.1 	9     	6.6     	239   	11976  	-58.723299	-62.172617	62.19 	-64.0   	-45.1     	1942.48	0.013328 	4.8     	42.4         	076        	17690    
2324      	180.7  	-45.1 	9     	6.5     	238   	11986  	-58.723104	-62.172560	62.10 	-64.0   	-45.1     	1943.90	0.013311 	4.8     	42.4         	076        	17705    
2326      	180.4  	-45.1 	9     	6.5     	238   	11996  	-58.722908	-62.172502	62.01 	-64.0   	-45.1     	1945.32	0.013293 	4.8     	42.4         	076        	17720    
2328      	180.2  	-45.1 	9     	6.4     	237   	12005  	-58.722713	-62.172444	61.92 	-64.0   	-45.1     	1946.74	0.013276 	4.8     	42.4         	076        	17735    
2330      	179.9  	-45.1 	9     	6.3     	237   	12015  	-58.722518	-62.172387	61.83 	-64.0   	-45.1     	1948.16	0.013258 	4.8     	42.4         	076        	17750    
2332      	179.7  	-45.0 	9     	6.3     	237   	12024  	-58.722323	-62.172329	61.74 	-64.0   	-45.0     	1949.57	0.013240 	4.8     	42.4         	076        	17764    
2334      	179.4  	-45.0 	9     	6.2     	238   	12034  	-58.722127	-62.172271	61.65 	-64.0   	-45.0     	1950.97	0.013163 	4.8     	42.4         	076        	17779    
2336      	179.1  	-45.0 	9     	6.2     	238   	12044  	-58.721932	-62.172214	61.55 	-64.1   	-45.0     	1952.38	0.013075 	4.8     	42.4         	076        	17794    
2338      	178.9  	-45.0 	9     	6.1     	238   	12053  	-58.721737	-62.172156	61.45 	-64.1   	-45.0     	1953.79	0.012986 	4.8     	42.4         	076        	17809    
2340      	178.6  	-45.0 	8     	6.0     	238   	12063  	-58.721542	-62.172098	61.36 	-64.1   	-45.0     	1955.20	0.012897 	4.8     	42.4         	076        	17824    
2342      	178.4  	-45.0 	8     	6.0     	238   	12072  	-58.721346	-62.172041	61.26 	-64.2   	-45.0     	1956.61	0.012808 	4.8     	42.4         	076        	17839    
2344      	178.1  	-45.0 	8     	5.9     	239   	12082  	-58.721151	-62.171983	61.17 	-64.2   	-45.0     	1958.02	0.012719 	4.8     	42.4         	076        	17854    
2346      	177.9  	-44.9 	8     	5.8     	239   	12092  	-58.720956	-62.171925	61.07 	-64.2   	-44.9     	1959.43	0.012630 	4.8     	42.4         	076        	17869    
2348      	177.6  	-44.9 	8     	5.8     	239   	12101  	-58.720754	-62.171872	60.97 	-64.3   	-44.9     	1960.84	0.012552 	4.8     	42.4         	076        	17884    
2350      	177.3  	-44.9 	8     	5.7     	239   	12111  	-58.720546	-62.171823	60.87 	-64.3   	-44.9     	1962.25	0.012477 	4.8     	42.4         	076        	17899    
2352      	177.1  	-44.9 	8     	5.8     	240   	12120  	-58.720339	-62.171774	60.78 	-64.3   	-44.9     	1963.65	0.012402 	4.8     	42.4         	076        	17915    
2354      	176.8  	-44.8 	8     	5.8     	241   	12130  	-58.720131	-62.171725	60.68 	-64.3   	-44.8     	1965.06	0.012327 	4.8     	42.4         	076        	17930    
2356      	176.6  	-44.8 	8     	5.8     	241   	12139  	-58.719923	-62.171677	60.58 	-64.3   	-44.8     	1966.47	0.012252 	4.8     	42.4         	076        	17945    
2358      	176.3  	-44.8 	8     	5.9     	241   	12149  	-58.719715	-62.171628	60.49 	-64.4   	-44.8     	1967.87	0.012177 	4.8     	42.4         	075        	17960    
2360      	176.1  	-44.8 	8     	5.9     	242   	12159  	-58.719507	-62.171579	60.40 	-64.4   	-44.8     	1969.28	0.012103 	4.8     	42.4         	075        	17976    
2362      	175.8  	-44.7 	8     	6.0     	242   	12168  	-58.719299	-62.171530	60.31 	-64.4   	-44.7     	1970.70	0.012087 	4.8     	42.4         	075        	17991    
2364      	175.6  	-44.7 	8     	6.0     	243   	12178  	-58.719091	-62.171481	60.22 	-64.4   	-44.7     	1972.12	0.012078 	4.8     	42.4         	075        	18006    
2366      	175.4  	-44.7 	8     	6.0     	243   	12187  	-58.718883	-62.171432	60.14 	-64.4   	-44.7     	1973.53	0.012069 	4.8     	42.4         	075        	18021    
2368      	175.1  	-44.7 	8     	6.1     	244   	12197  	-58.718675	-62.171383	60.05 	-64.4   	-44.7     	1974.95	0.012061 	4.8     	42.4         	075        	18036    
2370      	174.9  	-44.7 	8     	6.1     	244   	12206  	-58.718468	-62.171335	59.97 	-64.4   	-44.7     	1976.38	0.012053 	4.8     	42.4         	075        	18052    
2372      	174.7  	-44.7 	8     	6.1     	244   	12216  	-58.718260	-62.171286	59.89 	-64.4   	-44.7     	1977.81	0.012046 	4.8     	42.4         	075        	18067    
2374      	174.4  	-44.7 	8     	6.1     	244   	12226  	-58.718052	-62.171237	59.81 	-64.4   	-44.7     	1979.21	0.012038 	4.8     	42.4         	075        	18082    
2376      	174.1  	-44.7 	8     	6.2     	244   	12235  	-58.717844	-62.171188	59.72 	-64.4   	-44.7     	1980.63	0.011956 	4.8     	42.4         	075        	18097    
2378      	173.9  	-44.7 	8     	6.2     	244   	12245  	-58.717636	-62.171139	59.63 	-64.5   	-44.7     	1982.05	0.011851 	4.8     	42.4         	075        	18113    
2380      	173.6  	-44.7 	8     	6.2     	244   	12254  	-58.717428	-62.171090	59.54 	-64.6   	-44.7     	1983.46	0.011745 	4.8     	42.4         	075        	18128    
2382      	173.4  	-44.7 	8     	6.2     	244   	12264  	-58.717221	-62.171040	59.44 	-64.6   	-44.7     	1984.86	0.011639 	4.8     	42.4         	075        	18143    
2384      	173.1  	-44.7 	8     	6.2     	244   	12273  	-58.717013	-62.170990	59.35 	-64.7   	-44.7     	1986.27	0.011532 	4.8     	42.4         	075        	18158    
2386      	172.9  	-44.7 	7     	6.2     	244   	12283  	-58.716806	-62.170940	59.25 	-64.7   	-44.7     	1987.67	0.011426 	4.8     	42.4         	075        	18174    
2388      	172.6  	-44.6 	7     	6.2     	244   	12293  	-58.716598	-62.170890	59.16 	-64.8   	-44.6     	1989.08	0.011319 	4.8     	42.3         	075        	18189    
2390      	172.4  	-44.6 	7     	6.2     	244   	12302  	-58.716391	-62.170839	59.07 	-64.8   	-44.6     	1990.49	0.011226 	4.8     	42.3         	075        	18204    
2392      	172.2  	-44.6 	7     	6.2     	244   	12312  	-58.716183	-62.170789	58.98 	-64.8   	-44.6     	1991.90	0.011133 	4.8     	42.3         	075        	18219    
2394      	171.9  	-44.5 	7     	6.2     	243   	12321  	-58.715976	-62.170739	58.88 	-64.9   	-44.5     	1993.30	0.011039 	4.8     	42.3         	075        	18234    
2396      	171.7  	-44.5 	7     	6.2     	243   	12331  	-58.715768	-62.170689	58.79 	-64.9   	-44.5     	1994.71	0.010946 	4.8     	42.3         	075        	18250    
2398      	171.5  	-44.4 	7     	6.2     	243   	12340  	-58.715561	-62.170639	58.69 	-64.9   	-44.4     	1996.10	0.010852 	4.8     	42.3         	075        	18265    
2400      	171.2  	-44.4 	7     	6.1     	243   	12350  	-58.715353	-62.170589	58.59 	-64.9   	-44.4     	1997.51	0.010759 	4.8     	42.3         	075        	18280    
2402      	171.0  	-44.3 	7     	6.1     	243   	12359  	-58.715146	-62.170538	58.49 	-64.9   	-44.3     	1998.90	0.010667 	4.8     	42.3         	075        	18295    
2404      	170.7  	-44.3 	7     	6.1     	242   	12369  	-58.714938	-62.170488	58.39 	-64.9   	-44.3     	2000.31	0.010624 	4.8     	42.3         	075        	18311    
2406      	170.5  	-44.3 	7     	6.1     	242   	12378  	-58.714731	-62.170438	58.30 	-64.9   	-44.3     	2001.71	0.010581 	4.8     	42.3         	075        	18326    
2408      	170.2  	-44.2 	7     	6.1     	242   	12388  	-58.714537	-62.170389	58.20 	-64.9   	-44.2     	2003.12	0.010538 	4.8     	42.3         	075        	18341    
2410      	170.0  	-44.2 	7     	6.1     	241   	12398  	-58.714376	-62.170344	58.11 	-64.9   	-44.2     	2004.51	0.010496 	4.8     	42.3         	075        	18354    
2412      	169.8  	-44.1 	7     	6.0     	241   	12407  	-58.714215	-62.170298	58.01 	-64.9   	-44.1     	2005.93	0.010453 	4.8     	42.3         	075        	18367    
2414      	169.5  	-44.1 	7     	5.9     	241   	12417  	-58.714054	-62.170253	57.92 	-64.9   	-44.1     	2007.33	0.010410 	4.8     	42.3         	075        	18381    
2416      	169.3  	-44.1 	7     	5.8     	241   	12426  	-58.713893	-62.170208	57.83 	-64.9   	-44.1     	2008.73	0.010367 	4.8     	42.3         	075        	18394    
2418      	169.1  	-44.0 	7     	5.7     	240   	12436  	-58.713732	-62.170162	57.74 	-64.9   	-44.0     	2010.15	0.010307 	4.8     	42.3         	075        	18408    
2420      	168.8  	-44.0 	7     	5.6     	240   	12445  	-58.713571	-62.170117	57.65 	-64.9   	-44.0     	2011.55	0.010241 	4.8     	42.3         	075        	18421    
2422      	168.6  	-44.0 	7     	5.4     	240   	12455  	-58.713410	-62.170071	57.56 	-64.9   	-44.0     	2012.95	0.010174 	4.8     	42.3         	075        	18434    
2424      	168.4  	-43.9 	7     	5.3     	239   	12464  	-58.713249	-62.170026	57.48 	-64.9   	-43.9     	2014.36	0.010108 	4.8     	42.3         	075        	18448    
2426      	168.2  	-43.9 	7     	5.2     	239   	12474  	-58.713088	-62.169980	57.39 	-65.0   	-43.9     	2015.77	0.010041 	4.8     	42.3         	075        	18461    
2428      	167.9  	-43.9 	7     	5.1     	238   	12483  	-58.712927	-62.169935	57.29 	-65.0   	-43.9     	2017.17	0.009975 	4.8     	42.3         	075        	18475    
2430      	167.7  	-43.8 	7     	5.0     	238   	12493  	-58.712766	-62.169889	57.20 	-65.0   	-43.8     	2018.57	0.009909 	4.8     	42.3         	075        	18488    
2432      	167.4  	-43.8 	7     	4.9     	238   	12502  	-58.712605	-62.169844	57.11 	-65.0   	-43.8     	2019.99	0.009925 	4.8     	42.3         	075        	18501    
2434      	167.2  	-43.8 	7     	4.9     	238   	12512  	-58.712444	-62.169798	57.03 	-64.9   	-43.8     	2021.39	0.009942 	4.8     	42.3         	075        	18515    
2436      	167.0  	-43.7 	7     	4.8     	239   	12521  	-58.712282	-62.169753	56.94 	-64.9   	-43.7     	2022.80	0.009960 	4.8     	42.3         	075        	18528    
2438      	166.7  	-43.7 	7     	4.7     	239   	12531  	-58.712128	-62.169714	56.85 	-64.8   	-43.7     	2024.20	0.009978 	4.8     	42.4         	075        	18541    
2440      	166.5  	-43.7 	7     	4.6     	239   	12541  	-58.711980	-62.169682	56.76 	-64.8   	-43.7     	2025.62	0.009996 	4.8     	42.4         	075        	18554    
2442      	166.2  	-43.6 	7     	4.5     	239   	12550  	-58.711832	-62.169650	56.68 	-64.8   	-43.6     	2027.03	0.010014 	4.8     	42.4         	075        	18566    
2444      	166.0  	-43.6 	7     	4.4     	240   	12560  	-58.711685	-62.169619	56.59 	-64.8   	-43.6     	2028.46	0.010005 	4.8     	42.4         	075        	18579    
2446      	165.8  	-43.6 	7     	4.3     	240   	12569  	-58.711537	-62.169587	56.51 	-64.8   	-43.6     	2029.89	0.009940 	4.8     	42.4         	075        	18592    
2448      	165.5  	-43.6 	7     	4.2     	240   	12579  	-58.711389	-62.169555	56.42 	-64.8   	-43.6     	2031.32	0.009876 	4.8     	42.4         	075        	18605    
2450      	165.3  	-43.6 	6     	4.1     	240   	12589  	-58.711241	-62.169523	56.33 	-64.9   	-43.6     	2032.76	0.009811 	4.8     	42.4         	075        	18617    
2452      	165.1  	-43.6 	6     	4.2     	241   	12598  	-58.711093	-62.169491	56.25 	-64.9   	-43.6     	2034.18	0.009746 	4.8     	42.4         	075        	18630    
2454      	164.8  	-43.6 	6     	4.2     	242   	12608  	-58.710946	-62.169460	56.16 	-64.9   	-43.6     	2035.62	0.009682 	4.8     	42.4         	075        	18643    
2456      	164.6  	-43.6 	6     	4.2     	243   	12618  	-58.710798	-62.169428	56.08 	-65.0   	-43.6     	2037.06	0.009618 	4.8     	42.4         	075        	18655    
2458      	164.4  	-43.6 	6     	4.2     	244   	12627  	-58.710650	-62.169396	56.00 	-65.0   	-43.6     	2038.49	0.009568 	4.8     	42.4         	075        	18668    
2460      	164.1  	-43.6 	6     	4.3     	245   	12637  	-58.710502	-62.169364	55.93 	-65.1   	-43.6     	2039.94	0.009534 	4.8     	42.4         	075        	18681    
2462      	163.9  	-43.6 	6     	4.3     	246   	12647  	-58.710355	-62.169333	55.85 	-65.1   	-43.6     	2041.38	0.009500 	4.8     	42.4         	075        	18693    
2464      	163.6  	-43.6 	6     	4.3     	247   	12656  	-58.710207	-62.169301	55.77 	-65.2   	-43.6     	2042.81	0.009466 	4.8     	42.4         	075        	18706    
2466      	163.4  	-43.7 	6     	4.3     	248   	12666  	-58.710059	-62.169269	55.69 	-65.2   	-43.6     	2044.26	0.009432 	4.8     	42.4         	075        	18719    
2468      	163.2  	-43.7 	6     	4.4     	249   	12676  	-58.709911	-62.169237	55.62 	-65.2   	-43.7     	2045.71	0.009399 	4.8     	42.4         	075        	18732    
2470      	163.0  	-43.7 	6     	4.4     	250   	12685  	-58.709733	-62.169214	55.55 	-65.3   	-43.7     	2047.15	0.009366 	4.8     	42.4         	075        	18745    
2472      	162.7  	-43.7 	6     	4.5     	251   	12695  	-58.709546	-62.169193	55.49 	-65.4   	-43.7     	2048.60	0.009322 	4.8     	42.4         	075        	18759    
2474      	162.5  	-43.8 	6     	4.5     	252   	12705  	-58.709359	-62.169172	55.42 	-65.5   	-43.8     	2050.07	0.009249 	4.9     	42.4         	075        	18773    
2476      	162.3  	-43.8 	6     	4.6     	253   	12715  	-58.709172	-62.169150	55.35 	-65.5   	-43.8     	2051.56	0.009177 	4.9     	42.4         	075        	18787    
2478      	162.1  	-43.9 	6     	4.7     	254   	12725  	-58.708985	-62.169129	55.28 	-65.6   	-43.9     	2053.03	0.009104 	4.9     	42.4         	075        	18801    
2480      	161.9  	-43.9 	6     	4.8     	255   	12734  	-58.708798	-62.169108	55.21 	-65.7   	-43.9     	2054.52	0.009031 	4.9     	42.4         	075        	18815    
2482      	161.6  	-43.9 	6     	4.8     	256   	12744  	-58.708611	-62.169087	55.13 	-65.8   	-43.9     	2055.98	0.008956 	4.9     	42.4         	075        	18829    
2484      	161.4  	-43.9 	6     	4.9     	257   	12754  	-58.708424	-62.169066	55.04 	-65.8   	-43.9     	2057.45	0.008882 	4.9     	42.4         	075        	18844    
2486      	161.1  	-43.9 	6     	5.0     	257   	12764  	-58.708237	-62.169044	54.95 	-65.9   	-43.9     	2058.90	0.008824 	4.9     	42.4         	075        	18858    
2488      	160.9  	-43.9 	6     	5.1     	258   	12774  	-58.708050	-62.169023	54.87 	-65.9   	-43.9     	2060.37	0.008799 	4.9     	42.4         	075        	18872    
2490      	160.6  	-43.9 	6     	5.1     	259   	12784  	-58.707863	-62.169002	54.78 	-65.9   	-43.9     	2061.84	0.008774 	4.9     	42.4         	075        	18886    
2492      	160.4  	-43.9 	6     	5.1     	258   	12794  	-58.707676	-62.168981	54.70 	-66.0   	-43.9     	2063.31	0.008748 	4.9     	42.4         	075        	18900    
2494      	160.1  	-43.9 	6     	5.0     	257   	12804  	-58.707489	-62.168960	54.62 	-66.0   	-43.9     	2064.78	0.008723 	4.9     	42.4         	075        	18914    
2496      	159.9  	-43.9 	6     	5.0     	256   	12813  	-58.707302	-62.168939	54.54 	-66.0   	-43.9     	2066.25	0.008698 	4.9     	42.4         	075        	18928    
2498      	159.7  	-43.9 	6     	4.9     	255   	12823  	-58.707115	-62.168917	54.47 	-66.0   	-43.9     	2067.72	0.008673 	4.9     	42.4         	075        	18942    
2500      	159.5  	-43.9 	6     	4.9     	254   	12833  	-58.706928	-62.168896	54.39 	-66.1   	-43.9     	2069.20	0.008636 	4.9     	42.4         	075        	18956    
2502      	159.2  	-43.9 	6     	4.8     	253   	12843  	-58.706761	-62.168875	54.31 	-66.1   	-43.9     	2070.68	0.008593 	4.9     	42.4         	075        	18970    
2504      	159.0  	-44.0 	6     	4.8     	252   	12853  	-58.706594	-62.168853	54.23 	-66.1   	-43.9     	2072.16	0.008549 	5.0     	42.4         	075        	18983    
2506      	158.8  	-44.0 	6     	4.8     	251   	12863  	-58.706428	-62.168832	54.16 	-66.2   	-44.0     	2073.65	0.008505 	5.0     	42.5         	075        	18996    
2508      	158.6  	-43.9 	6     	4.7     	250   	12873  	-58.706262	-62.168810	54.07 	-66.2   	-43.9     	2075.13	0.008461 	5.0     	42.5         	075        	19010    
2510      	158.3  	-43.9 	6     	4.7     	249   	12883  	-58.706095	-62.168789	53.98 	-66.2   	-43.9     	2076.61	0.008416 	5.0     	42.5         	075        	19023    
2512      	158.1  	-43.9 	6     	4.6     	250   	12893  	-58.705929	-62.168768	53.89 	-66.2   	-43.9     	2078.10	0.008371 	5.0     	42.5         	075        	19037    
2514      	157.9  	-43.8 	6     	4.6     	251   	12903  	-58.705762	-62.168746	53.81 	-66.2   	-43.8     	2079.59	0.008369 	5.0     	42.5         	075        	19050    
2516      	157.6  	-43.8 	6     	4.6     	252   	12913  	-58.705596	-62.168725	53.72 	-66.2   	-43.8     	2081.08	0.008369 	5.0     	42.5         	075        	19063    
2518      	157.4  	-43.8 	6     	4.5     	253   	12923  	-58.705430	-62.168703	53.64 	-66.1   	-43.8     	2082.56	0.008368 	5.0     	42.5         	075        	19077    
2520      	157.2  	-43.8 	6     	4.5     	254   	12933  	-58.705263	-62.168682	53.56 	-66.1   	-43.7     	2084.05	0.008369 	5.0     	42.5         	075        	19090    
